心声冥想 App 内存监控日志
========================
包名：com.anonymous.soundtherapyapp
进程 ID: 8501
采样间隔：5秒
开始时间：2026-04-16 07:25:05
========================

时间戳 | PSS Total(MB) | Private Dirty(MB) | Heap Size(MB)
2026-04-16 07:58:37 | 98.70 |  | 22.49
2026-04-16 07:58:42 | 98.73 |  | 22.49
2026-04-16 07:58:48 | 98.76 |  | 22.49
2026-04-16 07:58:53 | 98.76 |  | 22.49
2026-04-16 07:58:58 | 98.77 |  | 22.49
2026-04-16 07:59:03 | 98.78 |  | 22.49
2026-04-16 07:59:08 | 98.77 |  | 22.49
2026-04-16 07:59:14 | 98.80 |  | 22.49
2026-04-16 07:59:19 | 98.80 |  | 22.49
2026-04-16 07:59:24 | 98.86 |  | 22.49
2026-04-16 07:59:29 | 98.86 |  | 22.49
2026-04-16 07:59:35 | 98.88 |  | 22.49
2026-04-16 07:59:40 | 98.87 |  | 22.49
2026-04-16 07:59:45 | 98.88 |  | 22.49
2026-04-16 07:59:50 | 98.87 |  | 22.49
2026-04-16 07:59:56 | 98.88 |  | 22.49
2026-04-16 08:00:01 | 98.88 |  | 22.50
2026-04-16 08:00:06 | 98.87 |  | 22.50
2026-04-16 08:00:11 | 98.88 |  | 22.50
2026-04-16 08:00:17 | 98.88 |  | 22.50
2026-04-16 08:00:22 | 98.87 |  | 22.50
2026-04-16 08:00:27 | 98.88 |  | 22.50
2026-04-16 08:00:32 | 98.87 |  | 22.50
2026-04-16 08:00:37 | 98.88 |  | 22.50
2026-04-16 08:00:43 | 98.87 |  | 22.50
2026-04-16 08:00:48 | 98.87 |  | 22.50
2026-04-16 08:00:53 | 98.87 |  | 22.50
2026-04-16 08:00:58 | 98.87 |  | 22.50
2026-04-16 08:01:04 | 98.87 |  | 22.50
2026-04-16 08:01:09 | 98.87 |  | 22.50
2026-04-16 08:01:14 | 98.87 |  | 22.50
2026-04-16 08:01:19 | 98.87 |  | 22.50
2026-04-16 08:01:25 | 98.88 |  | 22.50
2026-04-16 08:01:30 | 98.87 |  | 22.50
2026-04-16 08:01:35 | 98.87 |  | 22.50
2026-04-16 08:01:40 | 98.88 |  | 22.50
2026-04-16 08:01:45 | 98.87 |  | 22.50
2026-04-16 08:01:51 | 98.87 |  | 22.50
2026-04-16 08:01:56 | 98.88 |  | 22.50
2026-04-16 08:02:01 | 98.87 |  | 22.50
2026-04-16 08:02:06 | 98.88 |  | 22.50
2026-04-16 08:02:11 | 98.87 |  | 22.50
2026-04-16 08:02:17 | 98.88 |  | 22.50
2026-04-16 08:02:22 | 98.92 |  | 22.50
2026-04-16 08:02:27 | 98.91 |  | 22.50
2026-04-16 08:02:32 | 98.91 |  | 22.50
2026-04-16 08:02:37 | 98.91 |  | 22.50
2026-04-16 08:02:43 | 98.91 |  | 22.50
2026-04-16 08:02:48 | 98.91 |  | 22.50
2026-04-16 08:02:53 | 98.91 |  | 22.50
2026-04-16 08:02:58 | 98.91 |  | 22.50
2026-04-16 08:03:03 | 98.90 |  | 22.50
2026-04-16 08:03:08 | 98.91 |  | 22.50
2026-04-16 08:03:14 | 98.91 |  | 22.50
2026-04-16 08:03:19 | 98.91 |  | 22.50
2026-04-16 08:03:24 | 98.91 |  | 22.50
2026-04-16 08:03:29 | 98.91 |  | 22.50
2026-04-16 08:03:34 | 98.91 |  | 22.50
2026-04-16 08:03:40 | 98.91 |  | 22.50
2026-04-16 08:03:45 | 98.91 |  | 22.50
2026-04-16 08:03:50 | 98.91 |  | 22.50
2026-04-16 08:03:55 | 98.91 |  | 22.50
2026-04-16 08:04:00 | 98.91 |  | 22.50
2026-04-16 08:04:06 | 98.91 |  | 22.50
2026-04-16 08:04:11 | 98.90 |  | 22.50
2026-04-16 08:04:16 | 98.91 |  | 22.50
2026-04-16 08:04:21 | 98.91 |  | 22.50
2026-04-16 08:04:26 | 98.91 |  | 22.50
2026-04-16 08:04:32 | 98.91 |  | 22.50
2026-04-16 08:04:37 | 98.90 |  | 22.39
2026-04-16 08:04:42 | 98.88 |  | 22.39
2026-04-16 08:04:47 | 98.87 |  | 22.39
2026-04-16 08:04:52 | 98.87 |  | 22.39
2026-04-16 08:04:58 | 98.83 |  | 21.90
2026-04-16 08:05:03 | 98.82 |  | 21.90
2026-04-16 08:05:08 | 98.71 |  | 19.96
2026-04-16 08:05:13 | 98.75 |  | 19.96
2026-04-16 08:05:18 | 98.75 |  | 19.96
2026-04-16 08:05:23 | 98.75 |  | 19.96
2026-04-16 08:05:29 | 98.75 |  | 19.96
2026-04-16 08:05:34 | 98.74 |  | 19.96
2026-04-16 08:05:39 | 98.44 |  | 19.64
2026-04-16 08:05:44 | 98.09 |  | 19.59
